Week,Airports,Class,Passengers
7095,ADL-PER,Economy,1759
7102,ADL-PER,Economy,1962
7109,ADL-PER,Economy,2060
7116,ADL-PER,Economy,2486
7123,ADL-PER,Economy,2481
7130,ADL-PER,Economy,2245
7137,ADL-PER,Economy,2215
7144,ADL-PER,Economy,1748
7151,ADL-PER,Economy,1647
7158,ADL-PER,Economy,1698
7165,ADL-PER,Economy,965
7172,ADL-PER,Economy,0
7179,ADL-PER,Economy,0
7186,ADL-PER,Economy,0
7193,ADL-PER,Economy,0
7200,ADL-PER,Economy,0
7207,ADL-PER,Economy,0
7214,ADL-PER,Economy,0
7221,ADL-PER,Economy,0
7228,ADL-PER,Economy,0
7235,ADL-PER,Economy,109
7242,ADL-PER,Economy,87
7249,ADL-PER,Economy,63
7256,ADL-PER,Economy,47
7263,ADL-PER,Economy,0
7270,ADL-PER,Economy,0
7277,ADL-PER,Economy,167
7284,ADL-PER,Economy,1428
7291,ADL-PER,Economy,1143
7298,ADL-PER,Economy,1242
7305,ADL-PER,Economy,1258
7312,ADL-PER,Economy,1438
7319,ADL-PER,Economy,1098
7326,ADL-PER,Economy,1321
7333,ADL-PER,Economy,1307
7340,ADL-PER,Economy,1398
7347,ADL-PER,Economy,1300
7354,ADL-PER,Economy,1330
7361,ADL-PER,Economy,1652
7368,ADL-PER,Economy,1427
7375,ADL-PER,Economy,1882
7382,ADL-PER,Economy,2120
7389,ADL-PER,Economy,2317
7396,ADL-PER,Economy,2514
7403,ADL-PER,Economy,2298
7410,ADL-PER,Economy,2351
7417,ADL-PER,Economy,2104
7424,ADL-PER,Economy,1731
7431,ADL-PER,Economy,1620
7438,ADL-PER,Economy,1475
7445,ADL-PER,Economy,1423
7452,ADL-PER,Economy,1538
7459,ADL-PER,Economy,1549
7466,ADL-PER,Economy,1559
7473,ADL-PER,Economy,1945
7480,ADL-PER,Economy,2415
7487,ADL-PER,Economy,2345
7494,ADL-PER,Economy,2183
7501,ADL-PER,Economy,2036
7508,ADL-PER,Economy,1685
7515,ADL-PER,Economy,1728
7522,ADL-PER,Economy,1799
7529,ADL-PER,Economy,1981
7536,ADL-PER,Economy,1986
7543,ADL-PER,Economy,2101
7550,ADL-PER,Economy,2331
7557,ADL-PER,Economy,2642
7564,ADL-PER,Economy,1538
7571,ADL-PER,Economy,2501
7578,ADL-PER,Economy,2653
7585,ADL-PER,Economy,2283
7592,ADL-PER,Economy,2209
7599,ADL-PER,Economy,2152
7606,ADL-PER,Economy,2200
7613,ADL-PER,Economy,1970
7620,ADL-PER,Economy,1864
7627,ADL-PER,Economy,1965
7634,ADL-PER,Economy,1990
7641,ADL-PER,Economy,1977
7648,ADL-PER,Economy,2697
7655,ADL-PER,Economy,2238
7662,ADL-PER,Economy,2323
7669,ADL-PER,Economy,2653
7676,ADL-PER,Economy,2453
7683,ADL-PER,Economy,1474
7690,ADL-PER,Economy,2437
7697,ADL-PER,Economy,1905
7704,ADL-PER,Economy,1860
7711,ADL-PER,Economy,1806
7718,ADL-PER,Economy,1866
7725,ADL-PER,Economy,1581
7732,ADL-PER,Economy,1790
7739,ADL-PER,Economy,2210
7746,ADL-PER,Economy,1928
7753,ADL-PER,Economy,1805
7760,ADL-PER,Economy,2073
7767,ADL-PER,Economy,2227
7774,ADL-PER,Economy,1925
7781,ADL-PER,Economy,2018
7788,ADL-PER,Economy,1924
7795,ADL-PER,Economy,1595
7802,ADL-PER,Economy,1665
7809,ADL-PER,Economy,1664
7816,ADL-PER,Economy,1640
7823,ADL-PER,Economy,1494
7830,ADL-PER,Economy,1682
7837,ADL-PER,Economy,1776
7844,ADL-PER,Economy,2008
7851,ADL-PER,Economy,2129
7858,ADL-PER,Economy,2284
7865,ADL-PER,Economy,2030
7872,ADL-PER,Economy,2024
7879,ADL-PER,Economy,2022
7886,ADL-PER,Economy,2036
7893,ADL-PER,Economy,2070
7900,ADL-PER,Economy,2286
7907,ADL-PER,Economy,2305
7914,ADL-PER,Economy,2426
7921,ADL-PER,Economy,2483
7928,ADL-PER,Economy,2697
7935,ADL-PER,Economy,2617
7942,ADL-PER,Economy,2605
7949,ADL-PER,Economy,2560
7956,ADL-PER,Economy,2655
7963,ADL-PER,Economy,2376
7970,ADL-PER,Economy,2442
7977,ADL-PER,Economy,2509
7984,ADL-PER,Economy,2649
7991,ADL-PER,Economy,2501
7998,ADL-PER,Economy,2496
8005,ADL-PER,Economy,2711
8012,ADL-PER,Economy,2913
8019,ADL-PER,Economy,2909
8026,ADL-PER,Economy,3163
8033,ADL-PER,Economy,3305
8040,ADL-PER,Economy,3036
8047,ADL-PER,Economy,2977
8054,ADL-PER,Economy,2444
8061,ADL-PER,Economy,2480
8068,ADL-PER,Economy,2393
8075,ADL-PER,Economy,2282
8082,ADL-PER,Economy,2417
8089,ADL-PER,Economy,2266
8096,ADL-PER,Economy,2353
8103,ADL-PER,Economy,2354
8110,ADL-PER,Economy,1670
8117,ADL-PER,Economy,1612
8124,ADL-PER,Economy,1485
8131,ADL-PER,Economy,1934
8138,ADL-PER,Economy,1856
8145,ADL-PER,Economy,1776
8152,ADL-PER,Economy,1629
8159,ADL-PER,Economy,1427
8166,ADL-PER,Economy,1558
8173,ADL-PER,Economy,1480
8180,ADL-PER,Economy,1416
8187,ADL-PER,Economy,1768
8194,ADL-PER,Economy,1888
8201,ADL-PER,Economy,2242
8208,ADL-PER,Economy,2692
8215,ADL-PER,Economy,2519
8222,ADL-PER,Economy,2535
8229,ADL-PER,Economy,2534
8236,ADL-PER,Economy,2700
8243,ADL-PER,Economy,2578
8250,ADL-PER,Economy,2488
8257,ADL-PER,Economy,2681
8264,ADL-PER,Economy,2634
8271,ADL-PER,Economy,2483
8278,ADL-PER,Economy,2753
8285,ADL-PER,Economy,2837
8292,ADL-PER,Economy,3048
8299,ADL-PER,Economy,3061
8306,ADL-PER,Economy,2943
8313,ADL-PER,Economy,2789
8320,ADL-PER,Economy,2823
8327,ADL-PER,Economy,2799
8334,ADL-PER,Economy,2650
8341,ADL-PER,Economy,3059
8348,ADL-PER,Economy,2783
8355,ADL-PER,Economy,2722
6381,ADL-PER,First,252
6388,ADL-PER,First,193
6395,ADL-PER,First,159
6402,ADL-PER,First,219
6409,ADL-PER,First,192
6416,ADL-PER,First,219
6423,ADL-PER,First,191
6430,ADL-PER,First,229
6437,ADL-PER,First,197
6444,ADL-PER,First,209
6451,ADL-PER,First,204
6458,ADL-PER,First,195
6465,ADL-PER,First,214
6472,ADL-PER,First,219
6479,ADL-PER,First,289
6486,ADL-PER,First,233
6493,ADL-PER,First,286
6500,ADL-PER,First,262
6507,ADL-PER,First,183
6514,ADL-PER,First,341
6521,ADL-PER,First,328
6528,ADL-PER,First,222
6535,ADL-PER,First,223
6542,ADL-PER,First,250
6549,ADL-PER,First,173
6556,ADL-PER,First,64
6563,ADL-PER,First,38
6570,ADL-PER,First,67
6577,ADL-PER,First,112
6584,ADL-PER,First,120
6591,ADL-PER,First,129
6598,ADL-PER,First,159
6605,ADL-PER,First,308
6612,ADL-PER,First,227
6619,ADL-PER,First,316
6626,ADL-PER,First,232
6633,ADL-PER,First,223
6640,ADL-PER,First,243
6647,ADL-PER,First,186
6654,ADL-PER,First,100
6661,ADL-PER,First,149
6668,ADL-PER,First,264
6675,ADL-PER,First,303
6682,ADL-PER,First,255
6689,ADL-PER,First,242
6696,ADL-PER,First,260
6703,ADL-PER,First,241
6710,ADL-PER,First,234
6717,ADL-PER,First,214
6724,ADL-PER,First,164
6731,ADL-PER,First,219
6738,ADL-PER,First,186
6745,ADL-PER,First,195
6752,ADL-PER,First,180
6759,ADL-PER,First,181
6766,ADL-PER,First,219
6773,ADL-PER,First,191
6780,ADL-PER,First,211
6787,ADL-PER,First,196
6794,ADL-PER,First,198
6801,ADL-PER,First,204
6808,ADL-PER,First,208
6815,ADL-PER,First,220
6822,ADL-PER,First,199
6829,ADL-PER,First,253
6836,ADL-PER,First,161
6843,ADL-PER,First,109
6850,ADL-PER,First,180
6857,ADL-PER,First,175
6864,ADL-PER,First,200
6871,ADL-PER,First,167
6878,ADL-PER,First,277
6885,ADL-PER,First,339
6892,ADL-PER,First,203
6899,ADL-PER,First,264
6906,ADL-PER,First,204
6913,ADL-PER,First,164
6920,ADL-PER,First,134
6927,ADL-PER,First,47
6934,ADL-PER,First,51
6941,ADL-PER,First,143
6948,ADL-PER,First,141
6955,ADL-PER,First,150
6962,ADL-PER,First,142
6969,ADL-PER,First,194
6976,ADL-PER,First,210
6983,ADL-PER,First,218
6990,ADL-PER,First,156
6997,ADL-PER,First,193
7004,ADL-PER,First,296
7011,ADL-PER,First,142
7018,ADL-PER,First,136
7025,ADL-PER,First,226
7032,ADL-PER,First,217
7039,ADL-PER,First,177
7046,ADL-PER,First,167
7053,ADL-PER,First,194
7060,ADL-PER,First,163
7067,ADL-PER,First,181
7074,ADL-PER,First,208
7081,ADL-PER,First,225
7088,ADL-PER,First,172
7095,ADL-PER,First,158
7102,ADL-PER,First,188
7109,ADL-PER,First,141
7116,ADL-PER,First,183
7123,ADL-PER,First,158
7130,ADL-PER,First,159
7137,ADL-PER,First,132
7144,ADL-PER,First,94
7151,ADL-PER,First,200
7158,ADL-PER,First,152
7165,ADL-PER,First,91
7172,ADL-PER,First,0
7179,ADL-PER,First,0
7186,ADL-PER,First,0
7193,ADL-PER,First,0
7200,ADL-PER,First,0
7207,ADL-PER,First,0
7214,ADL-PER,First,0
7221,ADL-PER,First,0
7228,ADL-PER,First,0
7235,ADL-PER,First,8
7242,ADL-PER,First,13
7249,ADL-PER,First,0
7256,ADL-PER,First,0
7263,ADL-PER,First,0
7270,ADL-PER,First,0
7277,ADL-PER,First,10
7284,ADL-PER,First,99
7291,ADL-PER,First,27
7298,ADL-PER,First,43
7305,ADL-PER,First,68
7312,ADL-PER,First,91
7319,ADL-PER,First,92
7326,ADL-PER,First,85
7333,ADL-PER,First,140
7340,ADL-PER,First,109
7347,ADL-PER,First,119
7354,ADL-PER,First,138
7361,ADL-PER,First,129
7368,ADL-PER,First,134
7375,ADL-PER,First,205
7382,ADL-PER,First,185
7389,ADL-PER,First,160
7396,ADL-PER,First,95
7403,ADL-PER,First,120
7410,ADL-PER,First,109
7417,ADL-PER,First,159
7424,ADL-PER,First,134
7431,ADL-PER,First,119
7438,ADL-PER,First,121
7445,ADL-PER,First,125
7452,ADL-PER,First,113
7459,ADL-PER,First,107
7466,ADL-PER,First,118
7473,ADL-PER,First,110
7480,ADL-PER,First,105
7487,ADL-PER,First,109
7494,ADL-PER,First,108
7501,ADL-PER,First,113
7508,ADL-PER,First,104
7515,ADL-PER,First,145
7522,ADL-PER,First,123
7529,ADL-PER,First,97
7536,ADL-PER,First,99
7543,ADL-PER,First,140
7550,ADL-PER,First,135
7557,ADL-PER,First,151
7564,ADL-PER,First,59
7571,ADL-PER,First,82
7578,ADL-PER,First,131
7585,ADL-PER,First,132
7592,ADL-PER,First,160
7599,ADL-PER,First,171
7606,ADL-PER,First,164
7613,ADL-PER,First,145
7620,ADL-PER,First,140
7627,ADL-PER,First,130
7634,ADL-PER,First,156
7641,ADL-PER,First,161
7648,ADL-PER,First,125
7655,ADL-PER,First,15
7662,ADL-PER,First,41
7669,ADL-PER,First,59
7676,ADL-PER,First,81
7683,ADL-PER,First,69
7690,ADL-PER,First,89
7697,ADL-PER,First,93
7704,ADL-PER,First,136
7711,ADL-PER,First,158
7718,ADL-PER,First,139
7725,ADL-PER,First,116
7732,ADL-PER,First,122
7739,ADL-PER,First,151
7746,ADL-PER,First,79
7753,ADL-PER,First,73
7760,ADL-PER,First,126
7767,ADL-PER,First,129
7774,ADL-PER,First,69
7781,ADL-PER,First,115
7788,ADL-PER,First,101
7795,ADL-PER,First,100
7802,ADL-PER,First,106
7809,ADL-PER,First,97
7816,ADL-PER,First,65
7823,ADL-PER,First,109
7830,ADL-PER,First,104
7837,ADL-PER,First,96
7844,ADL-PER,First,58
7851,ADL-PER,First,71
7858,ADL-PER,First,79
7865,ADL-PER,First,76
7872,ADL-PER,First,70
7879,ADL-PER,First,86
7886,ADL-PER,First,91
7893,ADL-PER,First,63
7900,ADL-PER,First,79
7907,ADL-PER,First,110
7914,ADL-PER,First,70
7921,ADL-PER,First,75
7928,ADL-PER,First,91
7935,ADL-PER,First,74
7942,ADL-PER,First,76
7949,ADL-PER,First,80
7956,ADL-PER,First,117
7963,ADL-PER,First,73
7970,ADL-PER,First,99
7977,ADL-PER,First,93
7984,ADL-PER,First,61
7991,ADL-PER,First,107
7998,ADL-PER,First,65
8005,ADL-PER,First,84
8012,ADL-PER,First,101
8019,ADL-PER,First,38
8026,ADL-PER,First,43
8033,ADL-PER,First,58
8040,ADL-PER,First,75
8047,ADL-PER,First,87
8054,ADL-PER,First,61
8061,ADL-PER,First,149
8068,ADL-PER,First,228
8075,ADL-PER,First,142
8082,ADL-PER,First,175
8089,ADL-PER,First,163
8096,ADL-PER,First,192
8103,ADL-PER,First,181
8110,ADL-PER,First,321
8117,ADL-PER,First,236
8124,ADL-PER,First,252
8131,ADL-PER,First,203
8138,ADL-PER,First,195
8145,ADL-PER,First,226
8152,ADL-PER,First,218
8159,ADL-PER,First,212
8166,ADL-PER,First,231
8173,ADL-PER,First,207
8180,ADL-PER,First,160
8187,ADL-PER,First,134
8194,ADL-PER,First,155
8201,ADL-PER,First,174
8208,ADL-PER,First,153
8215,ADL-PER,First,151
8222,ADL-PER,First,134
8229,ADL-PER,First,131
8236,ADL-PER,First,142
8243,ADL-PER,First,153
8250,ADL-PER,First,110
8257,ADL-PER,First,160
8264,ADL-PER,First,158
8271,ADL-PER,First,170
8278,ADL-PER,First,146
8285,ADL-PER,First,144
8292,ADL-PER,First,113
8299,ADL-PER,First,154
8306,ADL-PER,First,139
8313,ADL-PER,First,126
8320,ADL-PER,First,145
8327,ADL-PER,First,127
8334,ADL-PER,First,117
8341,ADL-PER,First,180
8348,ADL-PER,First,146
8355,ADL-PER,First,116
7130,MEL-ADL,Business,423
7137,MEL-ADL,Business,573
7144,MEL-ADL,Business,603
7151,MEL-ADL,Business,621
7158,MEL-ADL,Business,514
7165,MEL-ADL,Business,298
7172,MEL-ADL,Business,0
7179,MEL-ADL,Business,0
7186,MEL-ADL,Business,0
7193,MEL-ADL,Business,0
7200,MEL-ADL,Business,0
7207,MEL-ADL,Business,0
7214,MEL-ADL,Business,0
7221,MEL-ADL,Business,78
7228,MEL-ADL,Business,31
7235,MEL-ADL,Business,99
7242,MEL-ADL,Business,109
7249,MEL-ADL,Business,75
7256,MEL-ADL,Business,75
7263,MEL-ADL,Business,56
7270,MEL-ADL,Business,53
7277,MEL-ADL,Business,76
7284,MEL-ADL,Business,65
7291,MEL-ADL,Business,27
7298,MEL-ADL,Business,71
7305,MEL-ADL,Business,93
7312,MEL-ADL,Business,202
7319,MEL-ADL,Business,290
7326,MEL-ADL,Business,244
7333,MEL-ADL,Business,344
7340,MEL-ADL,Business,347
7347,MEL-ADL,Business,446
7354,MEL-ADL,Business,429
7361,MEL-ADL,Business,473
7368,MEL-ADL,Business,471
7375,MEL-ADL,Business,559
7382,MEL-ADL,Business,568
7389,MEL-ADL,Business,624
7396,MEL-ADL,Business,457
7403,MEL-ADL,Business,385
7410,MEL-ADL,Business,506
7417,MEL-ADL,Business,651
7424,MEL-ADL,Business,464
7431,MEL-ADL,Business,513
7438,MEL-ADL,Business,518
7445,MEL-ADL,Business,432
7452,MEL-ADL,Business,487
7459,MEL-ADL,Business,413
7466,MEL-ADL,Business,450
7473,MEL-ADL,Business,444
7480,MEL-ADL,Business,425
7487,MEL-ADL,Business,416
7494,MEL-ADL,Business,429
7501,MEL-ADL,Business,464
7508,MEL-ADL,Business,414
7515,MEL-ADL,Business,433
7522,MEL-ADL,Business,399
7529,MEL-ADL,Business,425
7536,MEL-ADL,Business,421
7543,MEL-ADL,Business,439
7550,MEL-ADL,Business,426
7557,MEL-ADL,Business,519
7564,MEL-ADL,Business,261
7571,MEL-ADL,Business,494
7578,MEL-ADL,Business,414
7585,MEL-ADL,Business,414
7592,MEL-ADL,Business,557
7599,MEL-ADL,Business,535
7606,MEL-ADL,Business,575
7613,MEL-ADL,Business,401
7620,MEL-ADL,Business,543
7627,MEL-ADL,Business,410
7634,MEL-ADL,Business,453
7641,MEL-ADL,Business,393
7648,MEL-ADL,Business,241
7655,MEL-ADL,Business,53
7662,MEL-ADL,Business,152
7669,MEL-ADL,Business,175
7676,MEL-ADL,Business,259
7683,MEL-ADL,Business,282
7690,MEL-ADL,Business,239
7697,MEL-ADL,Business,418
7704,MEL-ADL,Business,481
7711,MEL-ADL,Business,465
7718,MEL-ADL,Business,416
7725,MEL-ADL,Business,517
7732,MEL-ADL,Business,473
7739,MEL-ADL,Business,494
7746,MEL-ADL,Business,379
7753,MEL-ADL,Business,380
7760,MEL-ADL,Business,560
7767,MEL-ADL,Business,531
7774,MEL-ADL,Business,445
7781,MEL-ADL,Business,514
7788,MEL-ADL,Business,499
7795,MEL-ADL,Business,500
7802,MEL-ADL,Business,580
7809,MEL-ADL,Business,486
7816,MEL-ADL,Business,523
7823,MEL-ADL,Business,417
7830,MEL-ADL,Business,461
7837,MEL-ADL,Business,408
7844,MEL-ADL,Business,406
7851,MEL-ADL,Business,375
7858,MEL-ADL,Business,359
7865,MEL-ADL,Business,411
7872,MEL-ADL,Business,376
7879,MEL-ADL,Business,400
7886,MEL-ADL,Business,394
7893,MEL-ADL,Business,421
7900,MEL-ADL,Business,378
7907,MEL-ADL,Business,437
7914,MEL-ADL,Business,433
7921,MEL-ADL,Business,390
7928,MEL-ADL,Business,404
7935,MEL-ADL,Business,461
7942,MEL-ADL,Business,432
7949,MEL-ADL,Business,373
7956,MEL-ADL,Business,438
7963,MEL-ADL,Business,542
7970,MEL-ADL,Business,531
7977,MEL-ADL,Business,409
7984,MEL-ADL,Business,526
7991,MEL-ADL,Business,462
7998,MEL-ADL,Business,461
8005,MEL-ADL,Business,401
8012,MEL-ADL,Business,341
8019,MEL-ADL,Business,76
8026,MEL-ADL,Business,115
8033,MEL-ADL,Business,185
8040,MEL-ADL,Business,315
8047,MEL-ADL,Business,321
8054,MEL-ADL,Business,305
8061,MEL-ADL,Business,365
8068,MEL-ADL,Business,325
8075,MEL-ADL,Business,336
8082,MEL-ADL,Business,370
8089,MEL-ADL,Business,492
8096,MEL-ADL,Business,454
8103,MEL-ADL,Business,479
8110,MEL-ADL,Business,2794
8117,MEL-ADL,Business,2725
8124,MEL-ADL,Business,2956
8131,MEL-ADL,Business,2469
8138,MEL-ADL,Business,1840
8145,MEL-ADL,Business,2744
8152,MEL-ADL,Business,2482
8159,MEL-ADL,Business,2468
8166,MEL-ADL,Business,2457
8173,MEL-ADL,Business,2155
8180,MEL-ADL,Business,2074
8187,MEL-ADL,Business,1789
8194,MEL-ADL,Business,1618
8201,MEL-ADL,Business,1185
8208,MEL-ADL,Business,879
8215,MEL-ADL,Business,868
8222,MEL-ADL,Business,751
8229,MEL-ADL,Business,764
8236,MEL-ADL,Business,707
