"CapShape","CapSurface","CapColor","Bruises","Odor","GillAttachment","GillSpacing","GillSize","GillColor","StalkShape","StalkRoot","StalkSurfaceAboveRing","StalkSurfaceBelowRing","StalkColorAboveRing","StalkColorBelowRing","VeilType","VeilColor","RingNumber","RingType","SporePrintColor","Population","Habitat","Class"
"convex","scaly","white","True","pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","urban","poisonous"
"convex","smooth","brown","True","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","urban","poisonous"
"bell","smooth","yellow","True","almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows","edible"
"convex","scaly","brown","True","pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","grasses","poisonous"
"bell","scaly","yellow","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows","edible"
"bell","scaly","white","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows","edible"
"bell","smooth","white","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","meadows","edible"
"flat","smooth","white","True","pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","grasses","poisonous"
"convex","scaly","yellow","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows","edible"
"convex","scaly","white","True","anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows","edible"
"flat","fibrous","brown","False","none","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","solitary","urban","edible"
"convex","smooth","yellow","True","almond","free","crowded","narrow","brown","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","woods","edible"
"bell","smooth","yellow","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows","edible"
"convex","scaly","white","True","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","urban","poisonous"
"convex","scaly","yellow","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows","edible"
"convex","scaly","brown","True","anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","solitary","paths","edible"
"bell","scaly","yellow","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows","edible"
"convex","fibrous","yellow","True","anise","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","woods","edible"
"sunken","fibrous","gray","False","none","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","urban","edible"
"convex","scaly","brown","True","pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","urban","poisonous"
"convex","fibrous","yellow","True","almond","free","crowded","narrow","pink","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","woods","edible"
"bell","smooth","yellow","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","meadows","edible"
"bell","scaly","yellow","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"convex","scaly","yellow","True","anise","free","close","broad","brown","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","solitary","paths","edible"
"convex","fibrous","brown","False","none","free","close","narrow","gray","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","solitary","urban","edible"
"convex","scaly","white","True","pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","grasses","poisonous"
"convex","smooth","yellow","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","meadows","edible"
"convex","scaly","white","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses","edible"
"convex","scaly","yellow","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","meadows","edible"
"convex","smooth","white","True","anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows","edible"
"convex","scaly","yellow","True","anise","free","close","broad","brown","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","scattered","paths","edible"
"flat","scaly","yellow","True","anise","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","scattered","paths","edible"
"convex","scaly","brown","True","almond","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","scattered","grasses","edible"
"convex","smooth","white","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses","edible"
"bell","smooth","white","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows","edible"
"convex","scaly","brown","True","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","urban","poisonous"
"convex","smooth","white","True","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","urban","poisonous"
"bell","scaly","yellow","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","meadows","edible"
"flat","fibrous","gray","False","none","free","crowded","broad","brown","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","brown","abundant","grasses","edible"
"bell","smooth","white","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses","edible"
"convex","smooth","yellow","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses","edible"
"convex","scaly","brown","True","almond","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","solitary","paths","edible"
"sunken","fibrous","gray","False","none","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","urban","edible"
"bell","scaly","yellow","True","almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows","edible"
"bell","smooth","yellow","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows","edible"
"bell","scaly","yellow","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows","edible"
"bell","scaly","white","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"flat","smooth","brown","False","none","free","crowded","broad","black","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses","edible"
"convex","smooth","white","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses","edible"
"flat","scaly","yellow","True","almond","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"convex","scaly","yellow","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses","edible"
"convex","fibrous","gray","False","none","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","urban","edible"
"flat","fibrous","yellow","True","anise","free","crowded","narrow","pink","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","woods","edible"
"bell","scaly","white","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows","edible"
"flat","fibrous","yellow","True","anise","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","woods","edible"
"convex","scaly","brown","True","almond","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","scattered","paths","edible"
"bell","smooth","yellow","True","almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses","edible"
"flat","smooth","yellow","True","anise","free","crowded","narrow","pink","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","woods","edible"
"convex","smooth","white","True","anise","free","crowded","narrow","brown","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","purple","several","woods","edible"
"flat","scaly","brown","True","anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","solitary","paths","edible"
"convex","scaly","brown","True","pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","urban","poisonous"
"flat","scaly","brown","True","almond","free","close","broad","brown","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","solitary","grasses","edible"
"convex","smooth","brown","False","none","free","crowded","broad","black","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","brown","scattered","grasses","edible"
"convex","scaly","white","True","pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses","poisonous"
"flat","fibrous","gray","False","none","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","solitary","urban","edible"
"convex","fibrous","gray","False","none","free","crowded","broad","brown","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","brown","scattered","grasses","edible"
"convex","scaly","yellow","True","anise","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","scattered","grasses","edible"
"convex","smooth","brown","False","none","free","crowded","broad","black","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","black","scattered","grasses","edible"
"bell","smooth","white","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses","edible"
"convex","smooth","white","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"flat","scaly","brown","True","anise","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","solitary","grasses","edible"
"sunken","fibrous","brown","False","none","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","urban","edible"
"convex","fibrous","brown","False","none","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","solitary","urban","edible"
"bell","smooth","white","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses","edible"
"convex","scaly","yellow","True","almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses","edible"
"convex","scaly","yellow","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","meadows","edible"
"convex","smooth","brown","False","none","free","crowded","broad","brown","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","brown","abundant","grasses","edible"
"convex","smooth","white","True","almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"flat","scaly","brown","True","anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"convex","smooth","yellow","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses","edible"
"bell","smooth","white","True","almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"convex","scaly","white","True","almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses","edible"
"convex","fibrous","brown","False","none","free","crowded","broad","pink","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","scattered","grasses","edible"
"bell","smooth","yellow","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses","edible"
"flat","scaly","yellow","True","anise","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"convex","scaly","yellow","True","almond","free","close","broad","brown","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","solitary","paths","edible"
"bell","scaly","white","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses","edible"
"convex","scaly","yellow","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","meadows","edible"
"convex","scaly","yellow","True","almond","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","solitary","grasses","edible"
"bell","scaly","white","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","meadows","edible"
"bell","scaly","white","True","almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows","edible"
"convex","smooth","yellow","True","almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","meadows","edible"
"convex","smooth","yellow","True","anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses","edible"
"sunken","fibrous","gray","False","none","free","close","narrow","gray","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","solitary","urban","edible"
"convex","fibrous","white","True","almond","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","purple","several","woods","edible"
"convex","smooth","yellow","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","meadows","edible"
"convex","scaly","white","True","pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","urban","poisonous"
"convex","scaly","yellow","True","anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"sunken","fibrous","gray","False","none","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","solitary","urban","edible"
"convex","scaly","yellow","True","anise","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","solitary","grasses","edible"
"convex","smooth","yellow","True","anise","free","crowded","narrow","pink","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","purple","several","woods","edible"
"sunken","fibrous","brown","False","none","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","solitary","urban","edible"
"convex","smooth","white","True","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","grasses","poisonous"
"convex","scaly","white","True","almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows","edible"
"flat","scaly","brown","True","pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","grasses","poisonous"
"flat","smooth","gray","False","none","free","crowded","broad","black","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","brown","abundant","grasses","edible"
"convex","smooth","yellow","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows","edible"
"convex","smooth","white","False","none","free","crowded","broad","brown","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","black","scattered","grasses","edible"
"bell","smooth","yellow","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses","edible"
"flat","fibrous","gray","False","none","free","crowded","broad","chocolate","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","brown","abundant","grasses","edible"
"convex","smooth","white","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses","edible"
"bell","smooth","white","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows","edible"
"bell","smooth","white","True","anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"bell","scaly","white","True","anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows","edible"
"flat","smooth","white","True","anise","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","purple","several","woods","edible"
"convex","scaly","yellow","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","meadows","edible"
"flat","smooth","white","True","almond","free","crowded","narrow","pink","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","woods","edible"
"convex","scaly","white","True","pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","urban","poisonous"
"flat","fibrous","white","True","anise","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","woods","edible"
"convex","scaly","yellow","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"convex","smooth","brown","True","pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","grasses","poisonous"
"bell","smooth","yellow","True","anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses","edible"
"convex","scaly","brown","True","almond","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","solitary","paths","edible"
"bell","scaly","yellow","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","meadows","edible"
"sunken","fibrous","brown","False","none","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","urban","edible"
"flat","scaly","brown","True","almond","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","solitary","paths","edible"
"convex","scaly","yellow","True","almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses","edible"
"convex","fibrous","gray","False","none","free","crowded","broad","black","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","black","scattered","grasses","edible"
"flat","fibrous","white","False","none","free","crowded","broad","black","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","brown","abundant","grasses","edible"
"convex","scaly","yellow","True","anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows","edible"
"bell","smooth","yellow","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses","edible"
"bell","scaly","white","True","almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","meadows","edible"
"convex","scaly","white","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"convex","smooth","brown","False","none","free","crowded","broad","pink","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","brown","abundant","grasses","edible"
"convex","scaly","white","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"sunken","fibrous","brown","False","none","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","urban","edible"
"convex","smooth","white","True","almond","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","purple","several","woods","edible"
"convex","scaly","brown","True","anise","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","scattered","grasses","edible"
"bell","scaly","yellow","True","almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses","edible"
"convex","scaly","white","True","almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses","edible"
"bell","scaly","white","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","meadows","edible"
"bell","smooth","yellow","True","almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses","edible"
"bell","smooth","yellow","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","meadows","edible"
"bell","scaly","yellow","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses","edible"
"convex","fibrous","brown","False","none","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","solitary","urban","edible"
"flat","scaly","brown","True","anise","free","close","broad","brown","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","solitary","grasses","edible"
"convex","scaly","white","True","almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"flat","scaly","yellow","True","anise","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","solitary","paths","edible"
"bell","smooth","white","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"bell","smooth","white","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","meadows","edible"
"convex","scaly","brown","True","anise","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","solitary","grasses","edible"
"bell","smooth","white","True","almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses","edible"
"convex","fibrous","gray","False","none","free","close","narrow","gray","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","solitary","urban","edible"
"bell","smooth","yellow","True","anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"convex","fibrous","yellow","True","anise","free","crowded","narrow","brown","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","purple","several","woods","edible"
"bell","scaly","yellow","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses","edible"
"flat","scaly","yellow","True","anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"bell","scaly","white","True","anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","meadows","edible"
"bell","scaly","white","True","almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","meadows","edible"
"bell","scaly","yellow","True","almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"convex","scaly","yellow","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows","edible"
"bell","smooth","yellow","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses","edible"
"convex","scaly","white","True","pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","urban","poisonous"
"sunken","fibrous","brown","False","none","free","close","narrow","gray","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","solitary","urban","edible"
"flat","fibrous","brown","False","none","free","close","narrow","gray","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","urban","edible"
"convex","smooth","yellow","True","almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows","edible"
"flat","scaly","brown","True","almond","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","scattered","paths","edible"
"convex","scaly","white","True","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses","poisonous"
"bell","smooth","white","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows","edible"
"flat","fibrous","gray","False","none","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","urban","edible"
"bell","scaly","yellow","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses","edible"
